API,Release
tf.raw_ops.SparseDenseCwiseMul,2.4.0
tf.raw_ops.ParameterizedTruncatedNormal,2.4.0
tf.raw_ops.SparseFillEmptyRows,2.4.0
tf.raw_ops.EditDistance,2.4.0
tf.raw_ops.RFFT,2.4.0
tf.raw_ops.IRFFT,2.4.0
tf.raw_ops.LoadAndRemapMatrix,2.4.0
tf.raw_ops.UnicodeEncode,2.4.0
tf.raw_ops.SparseSplit,2.4.0
tf.raw_ops.Reverse,2.4.0
tf.raw_ops.SparseMatMul,2.4.0
tf.raw_ops.FusedBatchNorm,2.4.0
tf.raw_ops.DenseCountSparseOutput,2.4.0
tf.raw_ops.UnsortedSegmentJoin,2.4.0
tf.raw_ops.QuantizeAndDequantizeV3,2.4.0
tf.raw_ops.MatrixTriangularSolve,2.4.0
tf.raw_ops.FractionalAvgPool,2.4.0
tf.raw_ops.QuantizedAdd,2.4.0
tf.raw_ops.QuantizedBatchNormWithGlobalNormalization,2.4.0
tf.raw_ops.QuantizedBiasAdd,2.4.0
tf.raw_ops.CTCGreedyDecoder,2.4.0
tf.raw_ops.QuantizeAndDequantizeV4Grad,2.4.0
tf.raw_ops.Conv2DBackpropFilter,2.4.0
tf.raw_ops.QuantizedReshape,2.4.0
tf.raw_ops.QuantizedResizeBilinear,2.4.0
tf.raw_ops.SparseConcat,2.4.0
tf.raw_ops.QuantizedMul,2.4.0
tf.raw_ops.DrawBoundingBoxes,2.4.0
tf.raw_ops.RaggedCross,2.4.0
tf.raw_ops.EncodePng,2.4.0
tf.raw_ops.SparseMatrixSparseCholesky,2.4.0
tf.raw_ops.QuantizedMul,2.4.0
tf.raw_ops.QuantizedConv2D,2.4.0
tf.raw_ops.Conv2D,2.4.0
tf.raw_ops.Conv2DBackpropInput,2.4.0
tf.raw_ops.Conv2DBackpropFilter,2.4.0
tf.raw_ops.AddManySparseToTensorsMap,2.4.0
tf.raw_ops.Conv3DBackpropFilterV2,2.4.0
tf.raw_ops.Conv3DBackpropInputV2,2.4.0
tf.raw_ops.SparseCountSparseOutput,2.4.0
tf.raw_ops.SparseCross,2.4.0
tf.raw_ops.GetSessionTensor,2.4.0
tf.raw_ops.Conv3D,2.4.0
tf.raw_ops.MatrixDiagV2,2.4.0
tf.raw_ops.RaggedBincount,2.4.0
tf.raw_ops.ImmutableConst,2.4.0
tf.repeat,2.9.0
tensorflow.keras.layers.Conv2D,2.4.0
tf.experimental.numpy.stack,2.11.0
tf.distribute.experimental.MultiWorkerMirroredStrategy,2.3.0
tf.nn.weighted_moments,2.6.0
tf.ragged.stack,2.6.0
tf.keras.models.load,2.3.0
tf.strings.split,2.9.0
tf.keras.Model.train_step,2.10.0
tf.keras.layers.LSTM,2.4.0
tf.linalg.svd,2.9.0
tf.raw_ops.AvgPoolGrad,2.6.0
tf.distribute.MirroredStrategy,2.2.0
tf.compat.v1.Session.run,2.9.0
tf.py_function,2.10.0
tf.data.Dataset.window,2.4.0
tf.keras.layers.Bidirectional,2.11.0
tf.convert_to_tensor,2.8.0
tf.TensorArray,2.11.0
tf.keras.Model.fit,2.11.0
tf.GradientTape.gradient,2.11.0
tf.nn.conv1d,2.7.0
tf.math.reduce_variance,2.11.0
tf.linalg.eigvalsh,2.9.0
tf.clip_by_value,2.9.0
tf.data.Dataset.from_tensor_slices,2.9.0
tf.math.bincount,2.9.0
tf.reduce_mean,2.9.0
tf.keras.models.Model,2.11.0
tf.nn.ctc_beam_search_decoder,2.4.0
tf.keras.layers.Conv3D,2.6.0
tf.data.Dataset.map,2.3.0
tf.queue.FIFOQueue,2.9.0
tf.image.resize,2.8.0
tensorflow.experimental.dtensor.relayout,2.9.0
tf.compat.v1.nn.convolution,2.6.0
tensorflow.summary.histogram,2.0.0
tf.math.unsorted_segment_sum,2.6.0
tf.stack,2.11.0
tf.data.Dataset,2.9.0
tf.data.Dataset.from_generator,2.8.0
tf.math.top_k,2.11.0
tensorflow.python.framework.convert_to_constants,2.6.0
tf.nn.avg_pool2d,2.3.0
tf.function-decoration/autotracing,2.11.0
tf.bitwise.bitwise_and,2.9.0
tf.keras.layers.experimental.preprocessing.StringLookup,2.3.0
tf.compat.v1.raw_ops.ApplyAdam,2.11.0
tf.data.Dataset.filter,2.9.1
tf.random.poisson,2.9.0
tf.experimental.dlpack.from_dlpack,2.5.0
tf.raw_ops.AvgPool3dGrad,2.6.0
tf.io.TFRecordWriter,2.3.1
tf.random.learned_unigram_candidate_sampler,2.11.0
tf.random.uniform,2.11.0
